1640995200000,228.50000000,255.30000000,228.50000000,250.10000000,127610.75900000,1641081599999,31276597.10920000,111217,78078.02400000,19163582.98840000,0
1641081600000,250.10000000,255.00000000,236.40000000,239.70000000,90050.41000000,1641167999999,22138635.14520000,73231,52050.63100000,12799273.79080000,0
1641168000000,239.70000000,239.90000000,223.50000000,231.50000000,91828.90500000,1641254399999,21353713.39440000,76102,49848.02000000,11591441.44990000,0
1641254400000,231.50000000,233.70000000,220.00000000,222.10000000,83491.13000000,1641340799999,18929071.42510000,55786,37978.25800000,8610957.12800000,0
1641340800000,222.00000000,225.30000000,200.70000000,206.50000000,87849.52200000,1641427199999,19083607.64060000,64712,41587.91100000,9042856.00070000,0
1641427200000,206.50000000,206.50000000,193.80000000,204.40000000,90650.39100000,1641513599999,18141510.91160000,58831,47217.99000000,9452478.45530000,0
1641513600000,204.50000000,209.00000000,191.80000000,194.70000000,124417.03800000,1641599999999,24776849.93320000,70432,59800.51900000,11927525.27870000,0
1641600000000,194.80000000,197.80000000,179.10000000,183.90000000,96940.22400000,1641686399999,18384422.09760000,50675,44389.52300000,8413966.46690000,0
1641686400000,183.90000000,195.60000000,183.00000000,191.00000000,99503.82200000,1641772799999,18972481.83690000,48497,48707.61400000,9287015.78900000,0
1641772800000,191.00000000,194.50000000,175.00000000,182.40000000,97440.27800000,1641859199999,18108663.71190020,65761,45883.22700000,8537496.59870000,0
1641859200000,182.40000000,195.00000000,181.20000000,192.90000000,109879.48800000,1641945599999,20659857.27550000,52676,57778.44000000,10872142.02470000,0
1641945600000,192.90000000,201.30000000,192.70000000,199.10000000,70516.19900000,1642031999999,13915889.36950000,41499,36229.01000000,7153170.57150000,0
1642032000000,199.00000000,230.00000000,198.00000000,223.60000000,247661.83900000,1642118399999,53972119.44170000,155997,132321.03300000,28798640.46010000,0
1642118400000,223.60000000,238.90000000,217.00000000,229.80000000,160561.27100000,1642204799999,36015302.12630000,98050,84863.23500000,19072862.62410000,0
1642204800000,229.80000000,231.20000000,217.00000000,217.70000000,72202.65600000,1642291199999,16146827.48310000,50528,34225.05100000,7662451.07140000,0
1642291200000,217.70000000,228.30000000,213.10000000,224.10000000,64171.98100000,1642377599999,14065584.21090000,58325,32500.56500000,7119231.46420000,0
1642377600000,224.10000000,230.70000000,209.40000000,214.40000000,137316.69000000,1642463999999,30485957.32540000,80108,66207.98400000,14730882.53930000,0
1642464000000,214.50000000,222.40000000,199.50000000,204.10000000,97886.26500000,1642550399999,20253327.53680000,58948,52619.06800000,10884282.82080000,0
1642550400000,204.00000000,213.10000000,199.10000000,201.40000000,96928.78600000,1642636799999,19986508.78020000,58560,45780.13300000,9452306.14570000,0
1642636800000,201.30000000,210.00000000,187.70000000,188.60000000,70143.96600000,1642723199999,14143876.07780000,47472,32890.93000000,6628095.27320000,0
1642723200000,188.50000000,192.30000000,167.20000000,173.00000000,144845.65722000,1642809599999,26231346.91098270,82221,70339.35451000,12743451.51609100,0
1642809600000,172.60000000,175.50000000,140.10000000,152.20000000,197370.32659000,1642895999999,30638512.05955660,95170,95894.66430000,14838646.86209000,0
1642896000000,151.90000000,158.90000000,148.00000000,157.00000000,104277.47300000,1642982399999,15944221.78940000,50503,59428.57600000,9086162.36350000,0
1642982400000,156.80000000,156.80000000,134.30000000,146.70000000,159872.14603000,1643068799999,22829826.52302600,68407,80881.06600000,11565717.15720000,0
1643068800000,146.80000000,147.90000000,139.40000000,144.80000000,187566.55800000,1643155199999,26975629.44700000,88080,89816.65800000,12939003.82420000,0
1643155200000,144.80000000,158.80000000,142.80000000,148.20000000,145776.63600000,1643241599999,21973677.67710000,66725,77443.71800000,11673027.19840000,0
1643241600000,148.20000000,149.90000000,139.20000000,144.70000000,111453.96600000,1643327999999,16034097.58510000,53425,56103.46700000,8078986.48790000,0
1643328000000,144.80000000,149.70000000,140.80000000,149.00000000,70739.18300000,1643414399999,10230876.71770000,37687,37799.16100000,5473052.31160000,0
1643414400000,149.10000000,155.60000000,148.70000000,153.70000000,59540.43900000,1643500799999,9058419.50590000,27142,31562.33100000,4804717.57660000,0
1643500800000,153.50000000,155.00000000,145.60000000,147.90000000,72118.86600000,1643587199999,10889420.72270000,32273,34221.75200000,5174791.34840000,0
1643587200000,147.70000000,148.10000000,140.40000000,147.10000000,87609.09100000,1643673599999,12594585.25320000,36085,38650.47000000,5564413.02430000,0
